fieldID,DonorSpp,Transplant,Treatment,Transect,Rep,Transect,Position,Offset,Side,Transplant date,Moist_190509,Moist_190605
225,HECO,PSSP,Control,1,3,1,30.3,6,L,17-Oct-18,11,6.6
226,HECO,POSE,Feedback,1,3,1,30.3,6,L,16-Oct-18,13.1,7.4
227,HECO,POSE,Exclusion,1,3,1,30.3,6,L,16-Oct-18,11,7.7
228,HECO,POSE,Control,1,3,1,30.3,6,L,16-Oct-18,11.3,6.9
229,HECO,PSSP,Feedback,1,4,1,32.5,2,R,17-Oct-18,14,8
230,HECO,PSSP,Exclusion,1,4,1,32.5,2,R,17-Oct-18,13.6,7.7
231,HECO,PSSP,Control,1,4,1,32.5,2,R,17-Oct-18,15,8.5
232,HECO,POSE,Feedback,1,4,1,32.5,2,R,16-Oct-18,16.6,8.7
233,HECO,POSE,Exclusion,1,4,1,32.5,2,R,16-Oct-18,14.6,7.4
234,HECO,POSE,Control,1,4,1,32.5,2,R,16-Oct-18,15.6,11.8
235,HECO,ARTR,Feedback,1,4,1,33,0,,15-Oct-18,13.3,5.9
236,HECO,ARTR,Exclusion,1,4,1,33,0,,15-Oct-18,13.5,5.7
237,HECO,ARTR,Control,1,4,1,33,0,,15-Oct-18,14.6,5.9
238,HECO,HECO,Feedback,1,4,1,33,0,,18-Oct-18,15.6,7.3
239,HECO,HECO,Exclusion,1,4,1,33,0,,18-Oct-18,13.8,5.2
240,HECO,HECO,Control,1,4,1,33,0,,18-Oct-18,12.5,7.2
241,HECO,ARTR,Feedback,2,5,2,5.2,4,R,15-Oct-18,16.1,6.9
242,HECO,ARTR,Exclusion,2,5,2,5.2,4,R,15-Oct-18,14.4,11.4
243,HECO,ARTR,Control,2,5,2,5.2,4,R,15-Oct-18,15.3,10.1
244,HECO,HECO,Feedback,2,5,2,5.2,4,R,18-Oct-18,13.8,11
245,HECO,HECO,Exclusion,2,5,2,5.2,4,R,18-Oct-18,16.1,9.7
246,HECO,HECO,Control,2,5,2,5.2,4,R,18-Oct-18,12.1,8.9
247,HECO,PSSP,Feedback,2,5,2,5.2,4,R,17-Oct-18,11.8,8.5
248,HECO,PSSP,Exclusion,2,5,2,5.2,4,R,17-Oct-18,15.1,8.3
249,HECO,PSSP,Control,2,5,2,5.2,4,R,17-Oct-18,12.2,8.4
250,HECO,POSE,Feedback,2,5,2,5.2,4,R,16-Oct-18,13.2,4.5
251,HECO,POSE,Exclusion,2,5,2,5.2,4,R,16-Oct-18,11.7,6.1
252,HECO,POSE,Control,2,5,2,5.2,4,R,16-Oct-18,15,4.9
253,PSSP,ARTR,Feedback,2,5,2,6,3,R,15-Oct-18,13,6.6
254,PSSP,ARTR,Exclusion,2,5,2,6,3,R,15-Oct-18,14.9,5.2
255,PSSP,ARTR,Control,2,5,2,6,3,R,15-Oct-18,13.7,7.7
256,PSSP,HECO,Feedback,2,5,2,6,3,R,18-Oct-18,10.6,6.3
257,PSSP,HECO,Exclusion,2,5,2,6,3,R,18-Oct-18,11.5,10.7
258,PSSP,HECO,Control,2,5,2,6,3,R,18-Oct-18,11.5,10
259,PSSP,PSSP,Feedback,2,5,2,6.2,3,R,17-Oct-18,9.8,4.6
260,PSSP,PSSP,Exclusion,2,5,2,6.2,3,R,17-Oct-18,8.7,9
261,PSSP,PSSP,Control,2,5,2,6.2,3,R,17-Oct-18,10.3,11.6
262,PSSP,POSE,Feedback,2,5,2,6.2,3,R,16-Oct-18,9.8,6.8
263,PSSP,POSE,Exclusion,2,5,2,6.2,3,R,16-Oct-18,6.2,7.4
264,PSSP,POSE,Control,2,5,2,6.2,3,R,16-Oct-18,9.5,9.1
265,BARE,ARTR,Feedback,2,5,2,7,4,L,15-Oct-18,7.7,6
266,BARE,ARTR,Exclusion,2,5,2,7,4,L,15-Oct-18,11.1,10.8
267,BARE,ARTR,Control,2,5,2,7,4,L,15-Oct-18,12.1,8.5
268,BARE,HECO,Feedback,2,5,2,7,4,L,18-Oct-18,9.7,10.6
269,BARE,HECO,Exclusion,2,5,2,7,4,L,18-Oct-18,12,13.8
270,BARE,HECO,Control,2,5,2,7,4,L,18-Oct-18,10.7,5.1
271,BARE,PSSP,Feedback,2,5,2,7,4,L,17-Oct-18,13.2,9.1
272,BARE,PSSP,Exclusion,2,5,2,7,4,L,17-Oct-18,13.2,9.8
273,BARE,PSSP,Control,2,5,2,7,4,L,17-Oct-18,7.9,10.4
274,BARE,POSE,Feedback,2,5,2,7,4,L,16-Oct-18,8.3,10.3
275,BARE,POSE,Exclusion,2,5,2,7,4,L,16-Oct-18,9.2,8.9
276,BARE,POSE,Control,2,5,2,7,4,L,16-Oct-18,12,10.5
277,POSE,ARTR,Feedback,2,5,2,7.1,0.5,L,15-Oct-18,10.3,9.7
278,POSE,ARTR,Exclusion,2,5,2,7.1,0.5,L,15-Oct-18,13.1,8
279,POSE,ARTR,Control,2,5,2,7.1,0.5,L,15-Oct-18,14.5,7.2
280,POSE,HECO,Feedback,2,5,2,7.1,0.5,L,18-Oct-18,8.6,8.6
281,POSE,HECO,Exclusion,2,5,2,7.1,0.5,L,18-Oct-18,9.3,8.9
282,POSE,HECO,Control,2,5,2,7.1,0.5,L,18-Oct-18,12.4,9.9
283,POSE,PSSP,Feedback,2,5,2,7.1,0.5,L,17-Oct-18,10.8,5.5
284,POSE,PSSP,Exclusion,2,5,2,7.1,0.5,L,17-Oct-18,10.7,5
285,POSE,PSSP,Control,2,5,2,7.1,0.5,L,17-Oct-18,12.6,8.1
286,POSE,POSE,Feedback,2,5,2,7.1,0.5,L,16-Oct-18,12.5,10.5
287,POSE,POSE,Exclusion,2,5,2,7.1,0.5,L,16-Oct-18,8.4,10.4
288,POSE,POSE,Control,2,5,2,7.1,0.5,L,16-Oct-18,7.9,11.4
289,ARTR,ARTR,Feedback,2,5,2,8.9,0,,15-Oct-18,5.1,7.9
290,ARTR,ARTR,Exclusion,2,5,2,8.9,0,,15-Oct-18,11.6,7.6
291,ARTR,ARTR,Control,2,5,2,8.9,0,,15-Oct-18,8,8.9
292,ARTR,HECO,Feedback,2,5,2,8.9,0,,18-Oct-18,10.8,8.5
293,ARTR,HECO,Exclusion,2,5,2,8.9,0,,18-Oct-18,6.2,5.7
294,ARTR,HECO,Control,2,5,2,8.9,0,,18-Oct-18,12.5,11.1
295,ARTR,PSSP,Feedback,2,5,2,8.9,0,,17-Oct-18,11.1,12.2
296,ARTR,PSSP,Exclusion,2,5,2,8.9,0,,17-Oct-18,14.2,9.9
297,ARTR,PSSP,Control,2,5,2,8.9,0,,17-Oct-18,14.5,7.2
298,ARTR,POSE,Feedback,2,5,2,8.9,0,,16-Oct-18,12.4,13.2
299,ARTR,POSE,Exclusion,2,5,2,8.9,0,,16-Oct-18,14.4,11.9
300,ARTR,POSE,Control,2,5,2,8.9,0,,16-Oct-18,14.8,12.8
301,POSE,ARTR,Feedback,2,6,2,10,1,R,15-Oct-18,9.8,6.3
302,POSE,ARTR,Exclusion,2,6,2,10,1,R,15-Oct-18,10.8,9
303,POSE,ARTR,Control,2,6,2,10,1,R,15-Oct-18,16,7.4
304,POSE,HECO,Feedback,2,6,2,10,1,R,18-Oct-18,5.8,5.4
305,POSE,HECO,Exclusion,2,6,2,10,1,R,18-Oct-18,12.6,6.7
306,POSE,HECO,Control,2,6,2,10,1,R,18-Oct-18,14.2,7.7
307,POSE,PSSP,Feedback,2,6,2,10,1,R,17-Oct-18,11.1,4.6
308,POSE,PSSP,Exclusion,2,6,2,10,1,R,17-Oct-18,10.9,6.5
309,POSE,PSSP,Control,2,6,2,10,1,R,17-Oct-18,10.8,7
